question,label
About what proportion of the population of the US is living on farms?,L1
Correctly label the brain lobes indicated on the diagram below,L1
Define compound interest.,L1
Define four types of traceability,L1
Define mercantilism.,L1
"Define stream bank, floodplain and substrate.",L1
Define the meaning of the Olympic Motto.,L1
Draw and label a diagram of a typical stream.,L1
Draw the basic outline of a page of notes using the Cornell Method?,L1
Draw the block diagram of the central processing unit,L1
Draw the flow chart of the PNK system,L1
How many instructions in the instruction set of RISC computer?,L1
How many kilometers from your home to the university,L1
How many loop statement available in c++?,L1
How many states are there in USA,L1
How many years does this animal live?,L1
How much data can be stored in the cach memory,L1
How much did he pay for his car,L1
How much is your weight,L1
How much time did he took to build a house,L1
How much water does an elephant drink,L1
Identify a phrase as a simile,L1
"Identify a property (commutative, additive, etc(",L1
Identify fractions from a pictorial representation,L1
Identify ordinal positions,L1
Identify the correct definition of osmosis,L1
Identify the five major prophets of the Old Testament.,L1
Identify the part of a eukaryotic cell.,L1
Identify the standard peripheral components of a computer.,L1
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),L1
in which countries is arabic language spoken,L1
in which continent does the state of suriname fall,L1
In Which part of the world does he live,L1
Label any Olympic sporting apparatus with design features.,L1
Label the parts of the following insects: Grasshopper,L1
Label the parts of the microscope shown on the right,L1
List four types of clauses mentioned in the article,L1
List reserved words in C programming.,L1
List the characteristics peculiar to the Cubist movement.,L1
List the levels in Bloom's Taxonomy.,L1
List the procedure to draw a mixed potential or Evans' diagram,L1
List the steps involved in titration.,L1
List three characteristics that are unique to the Cubist movement.,L1
List three predominant economic systems that exist,L1
Look at the symbol. What is the symbols purpose on a map?,L1
Make a list of facts you learned from the story.,L1
Name 5 steps that follow the taking of notes (within 24 hours or less)?,L1
Name the artist who painted the Mona Lisa.,L1
Name the food groups and at least two items of food in each group.,L1
Name the four major food groups.,L1
Name the main characters in the story.,L1
Name the property that states that,L1
Please label the diagram below:,L1
Recall basic math facts,L1
Recall locations of a historical events,L1
Recall the definition of the formula datatype from your assignment 2.,L1
Recall the equation for the Ideal Gas Law.,L1
Recall the following pictoral example of an implementation of some queue operations,L1
recall the supply voltage constraints,L1
Recite a policy of immigration in Europe .,L1
"Recite the poem ""Auto Wreck"".",L1
Recite the principles of the Data Protection Act.,L1
Recite the the Gaussian law,L1
State four attributes of well engineered software.,L1
State how to find a word in a dictionary,L1
State the characteristics of each type of corrosion testing studied,L1
State the definition of application in Bloom's Taxonomy.,L1
State the formula for the area of a circle,L1
State the guidelines to design an anodic protection system,L1
State the pattern for expressing time in French.,L1
State the rule for balls and strikes in baseball.,L1
State the rule for using a semicolon in a sentence.,L1
What are major facts about particular cultures and societies,L1
What are the major products and exports of countries,L1
What are the representational symbols on maps and charts,L1
What are the structure or functions of Congress,L1
What are the units of corrosion penetration rates? Relate these to Faraday's law,L1
What does ICT stands for,L1
What is  your family name,L1
What is a global variable?,L1
